merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
O17658724388491618 APP BR,,9311,TORINO,IT,128.73,25/2/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
DEKUJEME-DPMHK,dekujeme dpmhk,4111,HRAD. KRALOVE,CZ,104.54,5/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
1CEE1 BOOST,boost,5815,DUBLIN 4,IE,16.99,19/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
TOOGOODT 4NSR4FGFQSQA0,toogoodt,5812,TOOGOODTOGO.N,DK,144.13,31/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LW*BILLETWEB,billetweb,7991,PARIS 7,FR,98.83,23/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Tourist Attractions,0.95,rule_based,mcc_rule,no
O17472091280597636 APP BR,,9311,TORINO,IT,101.92,3/2/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
PIREX PAPIR,pirex papir,5943,BUDAPEST,HU,170.59,28/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Office Supplies,0.0,rule_based,,no
IEPURAS LEGUME FRUCTE,iepuras legume fructe,5411,X,RO,22.72,1/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SKYSHOWTIME C0D85 SHOW,skyshowtime show,4899,AMSTERDAM,NL,44.71,16/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
RENTUMO.CO.UK GB-115567,rentumo,6513,K BENHAVN K,DK,143.93,1/11/2025,,,real estate & payments,"Real estate managers, payment services",Real Estate Agents,0.0,rule_based,,no
E03A0,,4899,DUBLIN 4,IE,86.22,9/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
32RED,,7995,2483384594,GB,72.25,17/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
USCUSTOMS ESTA APPL PMT,uscustoms esta pmt,9399,317-715-6776,US,176.01,4/1/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule,no
LIM*9 COURSES,lim courses,4789,PARIS,FR,75.18,17/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
FACEBK *KF94RY47Q2,facebk,7311,FB.ME/ADS,IE,15.67,27/9/2025,,,business services,"Advertising, consulting, IT services",Advertising Services,0.0,rule_based,,no
AD FREE FOR *LG5YI77Y5,free for,5815,PRIMEVIDEO.NL,GB,91.24,1/12/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
SPILNU,spilnu,7995,ID:2300133290,DK,72.92,18/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB HMQHJ34,paypal airbnb,7011,35314369001,GB,184.84,15/2/2026,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
88E26 SPORTS,sports,4899,DUBLIN 4,IE,186.46,9/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
SIMPLY MARKET,simply market,5411,CACHAN,FR,151.28,6/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
GOPAY *BIKE-ESHOP.CZ,gopay bike eshop,5499,BIKE-ESHOP.CZ,CZ,185.81,9/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
OSMOKE,osmoke,5993,ANTIBES,FR,116.73,7/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
GALADARI ICE CREAM CO L,galadari ice cream,5814,DUBAI,AE,35.62,27/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
L'ALLEGREZZA DI SFARZ.,allegrezza sfarz,5499,BARI,IT,12.43,30/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
32ROSU,,7995,2624270115,MT,6.53,14/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
LIDL DIENSTLEISTUNG,lidl dienstleistung,5411,LOLLAR,DE,49.35,23/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ETSY.COM*ELEPHANTHOUSE,etsy elephanthouse,5699,DUBLIN 1,IE,31.37,17/11/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule,no
TRADEIT.GG - RHF6,tradeit,7993,TRADEIT.GG,US,68.62,5/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
LIME*2 RIDES 52JU,lime rides,4789,FRANKFURT,DE,28.42,2/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
MERCADONA PLAYA FLAMEN,mercadona playa flamen,5411,ORIHUELA,ES,135.4,31/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
NEMZETI DOHA'NYBOLT-L,nemzeti doha nybolt,7995,GARDONY,HU,184.84,7/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
DADF3 ENTS,ents,5815,DUBLIN 4,IE,72.55,3/11/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
CRV*TESCO STORES 2128,crv tesco stores,5411,LONDON,GB,188.44,4/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
NEWCASTLE CITY COUNCIL GQ,newcastle city council,7523,NCC PARKING,GB,99.64,26/12/2025,fuel & automotive,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,yes
MARINELLI BEATRICE,marinelli beatrice,5993,PESCARA,IT,140.02,21/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
TONCO BAKERY,tonco bakery,5462,SHEFFIELD,GB,42.31,21/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
FOODORA_AT_Z3Z1-2516-J,foodora,5499,WIEN,AT,166.58,21/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
SPLRU 69 LYO,splru lyo,4111,V25053008559�,FR,133.71,7/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
BILLA DANKT 0000112,billa dankt,5411,WIEN,AT,174.77,29/9/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*2 RIDES CL6V,lime rides,7519,BULGARIA,BG,87.92,29/10/2025,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
NOTEMACHINE,notemachine,6011,UK,GB,92.56,19/11/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule,no
FOODORA_AT_HVVR-2531-D,foodora hvvr,5499,WIEN,AT,40.71,7/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
PHIE BEL AIR,phie bel air,5912,RAMBOUILLE,FR,40.94,27/10/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
KRISNA LAWN HO,krisna lawn,5812,BADUNG,ID,135.82,24/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
TELEBOY.CH,teleboy,4899,Z RICH,CH,94.86,19/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
AMAZON UK* Z31K50RF4,amazon,5399,LONDON,GB,160.56,1/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
FOODORA_AT_B29W-9XAY,foodora,5499,WIEN,AT,46.81,4/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
GOPAY *OLIVIE.CZ,gopay olivie,5944,OLIVIE.CZ,CZ,18.86,30/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Jewelry Stores,0.0,rule_based,,no
NYX*ASOVENDINGSRO,nyx asovendingsro,5499,BANSKABYSTRIC,SK,101.7,6/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
0A8A4 ENTERTAI,entertai,5815,DUBLIN 4,IE,157.42,29/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
SWB E0R6V6W530Y4XP,swb,4111,BONN,DE,90.75,6/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
DPD DEPO 1385,dpd depo,4215,MENIN,CZ,191.68,22/12/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,,no
SKYSHOWTIME BF0D7,skyshowtime,4899,AMSTERDAM,NL,64.54,18/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
IYZICO*R?OTGAMES.COM,iyzico otgames,7399,ISTANBUL,TR,128.13,31/12/2025,professional services,,business services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,,yes
R057 BRICCOCAFE',briccocafe,5309,VENEZIA,IT,119.9,12/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
REWE MARKT GMBH-ZW-NL,rewe markt gmbh,5411,GROSSENKNETEN,DE,171.81,19/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
CS EUROOIL 847 TURNOV,eurooil turnov,5541,TURNOV,CZ,121.48,19/11/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
BAZAR TABAQUERIA ELVIR,bazar tabaqueria elvir,5947,LAS PALMAS DE,ES,41.44,29/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,,no
SWISSINTERNSG9XAG,,4511,PAYPAL COM,CH,153.15,17/12/2025,travel & airlines,Airlines,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule,no
DE WINKEL VAN GINKEL,winkel van ginkel,5499,VOORBURG,NL,168.88,28/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
MOONPAY*GMGN 4554,moonpay gmgn,6051,MOONPAY.COM,IE,159.44,11/10/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
FOODORA_AT_NFP6-HSBF,foodora hsbf,5499,WIEN,AT,113.38,5/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
SELECTA DEUTSCHLAND GM,selecta deutschland,5499,KELSTERBACH,DE,198.4,15/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TOOGOODT F25RW5BYR5PG0,toogoodt,5812,TOOGOODTOGO.E,DK,120.77,16/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
GOPAY  *SCONTO.CZ,gopay sconto,5712,HTTPS://SCONT,CZ,84.88,5/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 4FC25 SHTANDA,skyshowtime shtanda,4899,AMSTERDAM,NL,173.58,29/9/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
EMRSON CAFE'',emrson cafe,5812,CAGLIARI,IT,67.31,18/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
BUY 2 GO,buy,5411,FAMAGUSTA,CY,84.71,2/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PV ENI - 57208,eni,5541,VERONA,IT,196.47,8/2/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
GOPAY  *EMIE.CZ,gopay emie,5732,HTTPS://EMIE.,CZ,195.94,8/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule,no
AMAZON UK* ZD37L43R4,amazon,5399,LONDON,GB,185.11,27/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
TV NOVA 4135857117,nova,4899,PRAHA 5,CZ,56.4,12/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
X6331 SPORTS,sports,5815,DUBLIN 4,IE,92.88,15/2/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
LIWU - GALERIE BUTO,liwu galerie buto,5814,PRAHA 5,CZ,195.24,2/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
WWW.AMAZON* 404-289752,amazon,5399,14018657948,LU,31.44,14/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
TESCO STORES PLC,tesco stores plc,5411,BIRMINGHAM,GB,61.83,14/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
GOPAY  *NEKTO.SK,gopay nekto,5732,SNINA,SK,188.22,30/11/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule,no
COWBOY BUFFET & STEAKR,cowboy buffet steakr,5812,BRYCE,US,51.59,3/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
BOLT.EU/O/2510210116,bolt,4121,TALLINN,EE,14.36,4/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
TORA ENERGEIA,tora energeia,4900,ATHENS,GR,172.21,16/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule,no
SPIELBERG EVENT,spielberg event,7941,SPIELBERG,AT,118.06,18/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Sports Clubs,0.95,rule_based,mcc_rule,no
RESTAURANT OLYMPIQUE,restaurant olympique,5812,NORESUND,NO,141.91,5/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
CASUTACUCUTII S R L,casutacucutii,5947,CLUJ-NAPOCA,RO,36.61,31/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,,no
ROBIN EN KEES 1,robin kees,5499,ENKHUIZEN,NL,42.79,13/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
M&S SIMPLY FOOD - SSP,simply food ssp,5499,BOND STREET,GB,21.91,20/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
GUESS STORE,guess,5691,PRAHA 1,CZ,154.93,4/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
SKYSHOWTIME A2F9C,skyshowtime,4899,AMSTERDAM,NL,78.48,19/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
GOPAY  *LATKY-ESHOP.CZ,gopay latky eshop,5699,PRAHA,CZ,56.63,8/3/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule,no
FOODORA_AT_X0X6-6MBH,foodora,5499,WIEN,AT,162.48,6/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
